City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,laguna,38.421,-121.4238,10.72,93,100,4.12,US,01-12-2022 23:17:18
1,hilo,19.7297,-155.09,29.04,78,100,4.12,US,01-12-2022 23:17:18
2,sangar,63.9242,127.4739,-32.88,95,100,2.54,RU,01-12-2022 23:16:55
3,cukai,4.25,103.4167,25.0,91,96,2.28,MY,01-12-2022 23:17:18
4,port elizabeth,-33.918,25.5701,17.95,95,11,1.79,ZA,01-12-2022 23:13:21
5,hasaki,35.7333,140.8333,9.56,78,100,5.78,JP,01-12-2022 23:17:18
6,carnarvon,-24.8667,113.6333,21.13,74,0,6.1,AU,01-12-2022 23:17:18
7,busselton,-33.65,115.3333,15.08,79,3,2.37,AU,01-12-2022 23:17:19
8,okha,53.5739,142.9478,-19.32,89,80,7.9,RU,01-12-2022 23:17:19
9,saint-philippe,-21.3585,55.7679,22.77,80,18,1.71,RE,01-12-2022 23:17:19
10,kromy,52.6876,35.7667,-3.85,78,100,4.62,RU,01-12-2022 23:17:19
11,kapaa,22.0752,-159.319,28.99,58,0,7.72,US,01-12-2022 23:17:20
12,chokurdakh,70.6333,147.9167,-18.41,97,100,3.91,RU,01-12-2022 23:16:16
13,sur,22.5667,59.5289,22.84,48,81,2.6,OM,01-12-2022 23:17:20
14,kodiak,57.79,-152.4072,2.73,60,0,5.14,US,01-12-2022 23:17:20
15,mataura,-46.1927,168.8643,10.27,82,61,3.77,NZ,01-12-2022 23:17:20
16,ushuaia,-54.8,-68.3,12.81,47,75,4.63,AR,01-12-2022 23:15:37
17,yellowknife,62.456,-114.3525,-29.71,76,40,2.57,CA,01-12-2022 23:17:20
18,butaritari,3.0707,172.7902,27.16,78,26,7.47,KI,01-12-2022 23:17:20
19,airai,-8.9266,125.4092,18.72,63,27,0.59,TL,01-12-2022 23:17:21
20,san patricio,28.017,-97.5169,16.93,82,99,5.59,US,01-12-2022 23:17:21
21,ndele,8.4109,20.6473,27.47,41,92,1.0,CF,01-12-2022 23:17:21
22,barrow,71.2906,-156.7887,-5.99,93,100,5.66,US,01-12-2022 23:17:21
23,vaini,-21.2,-175.2,30.09,74,20,3.6,TO,01-12-2022 23:17:21
24,kruisfontein,-34.0033,24.7314,16.6,86,5,2.0,ZA,01-12-2022 23:17:21
25,tiksi,71.6872,128.8694,-23.24,96,100,4.89,RU,01-12-2022 23:17:21
26,nyurba,63.2842,118.3319,-22.53,95,100,3.4,RU,01-12-2022 23:17:22
27,collie,-33.3667,116.15,15.33,66,0,1.66,AU,01-12-2022 23:17:22
28,hami,42.8,93.45,-8.88,21,100,0.72,CN,01-12-2022 23:17:23
29,arraial do cabo,-22.9661,-42.0278,23.98,88,75,8.75,BR,01-12-2022 23:17:23
30,khatanga,71.9667,102.5,-12.14,94,99,5.89,RU,01-12-2022 23:17:23
31,cape town,-33.9258,18.4232,18.48,82,75,3.09,ZA,01-12-2022 23:15:39
32,zhigansk,66.7697,123.3711,-27.15,99,100,2.53,RU,01-12-2022 23:13:50
33,rikitea,-23.1203,-134.9692,23.72,76,100,4.43,PF,01-12-2022 23:17:23
